league,team,season,games,wins,draws,losses,pts_total,avg_res_for_game,year_of_foundation
Premier League,Manchester City FC,2021-2022,38,29,6,3,99.0,2.4473684210526314,1880
Premier League,Manchester City FC,2022-2023,38,28,5,5,94.0,2.3421052631578947,1880
Premier League,Manchester City FC,2023-2024,38,28,7,3,96.0,2.3947368421052633,1880
Premier League,Manchester City FC,2024-2025,38,21,8,9,72.0,1.868421052631579,1880
Premier League,Manchester United FC,2021-2022,38,16,10,12,57.0,1.5263157894736843,1878
Premier League,Manchester United FC,2022-2023,38,23,6,9,58.0,1.9736842105263157,1878
Premier League,Manchester United FC,2023-2024,38,18,6,14,57.0,1.5789473684210527,1878
Premier League,Manchester United FC,2024-2025,38,11,9,18,44.0,1.105263157894737,1878
Premier League,Newcastle United FC,2021-2022,38,13,10,15,44.0,1.2894736842105263,1892
Premier League,Newcastle United FC,2022-2023,38,19,14,5,68.0,1.868421052631579,1892
Premier League,Newcastle United FC,2023-2024,38,18,6,14,85.0,1.5789473684210527,1892
Premier League,Newcastle United FC,2024-2025,38,20,6,12,68.0,1.736842105263158,1892
Premier League,Norwich City FC,2021-2022,38,5,7,26,23.0,0.5789473684210527,1902
Premier League,Nottingham Forest FC,2022-2023,38,9,11,18,38.0,1.0,1865
Premier League,Nottingham Forest FC,2023-2024,38,9,9,20,49.0,0.9473684210526315,1865
Premier League,Nottingham Forest FC,2024-2025,38,19,8,11,58.0,1.7105263157894737,1865
Premier League,Sheffield United FC,2023-2024,38,3,7,28,35.0,0.42105263157894735,1889
Premier League,Southampton FC,2021-2022,38,9,13,16,43.0,1.0526315789473684,1885
Premier League,Southampton FC,2022-2023,38,6,7,25,36.0,0.6578947368421053,1885
Premier League,Southampton FC,2024-2025,38,2,6,30,26.0,0.3157894736842105,1885
Premier League,Tottenham Hotspur FC,2021-2022,38,22,5,11,69.0,1.868421052631579,1882
Premier League,Tottenham Hotspur FC,2022-2023,38,18,6,14,70.0,1.5789473684210527,1882
Premier League,Tottenham Hotspur FC,2023-2024,38,20,6,12,74.0,1.736842105263158,1882
Premier League,Tottenham Hotspur FC,2024-2025,38,11,5,22,64.0,1.0,1882
Premier League,Watford FC,2021-2022,38,6,5,27,34.0,0.6052631578947368,1881
Premier League,West Ham United FC,2021-2022,38,16,8,14,60.0,1.4736842105263157,1895
Premier League,West Ham United FC,2022-2023,38,11,7,20,42.0,1.0526315789473684,1895
Premier League,West Ham United FC,2023-2024,38,14,10,14,60.0,1.368421052631579,1895
Premier League,West Ham United FC,2024-2025,38,11,10,17,46.0,1.131578947368421,1895
Premier League,Wolverhampton Wanderers FC,2021-2022,38,15,6,17,38.0,1.3421052631578947,1877
Premier League,Wolverhampton Wanderers FC,2022-2023,38,11,8,19,31.0,1.0789473684210527,1877
Premier League,Wolverhampton Wanderers FC,2023-2024,38,13,7,18,50.0,1.2105263157894737,1877
Premier League,Wolverhampton Wanderers FC,2024-2025,38,12,6,20,54.0,1.105263157894737,1877
Serie A,AC Milan,2021-2022,76,52,16,8,138.0,2.263157894736842,1899
Serie A,AC Milan,2022-2023,76,40,20,16,128.0,1.8421052631578947,1899
Serie A,AC Milan,2023-2024,38,22,9,7,76.0,1.9736842105263157,1899
Serie A,AC Milan,2024-2025,76,36,18,22,122.0,1.6578947368421053,1899
Serie A,AC Monza,2022-2023,38,14,10,14,48.0,1.368421052631579,1912
Serie A,AC Monza,2023-2024,38,11,12,15,39.0,1.1842105263157894,1912
Serie A,AC Monza,2024-2025,38,3,9,26,28.0,0.47368421052631576,1912
Serie A,ACF Fiorentina,2021-2022,38,19,5,14,59.0,1.631578947368421,1926
Serie A,ACF Fiorentina,2022-2023,38,15,11,12,53.0,1.4736842105263157,1926
Serie A,ACF Fiorentina,2023-2024,38,17,9,12,61.0,1.5789473684210527,1926
Serie A,ACF Fiorentina,2024-2025,37,18,8,11,57.0,1.6756756756756757,1926
Serie A,AS Roma,2021-2022,38,18,9,11,59.0,1.6578947368421053,1927
Serie A,AS Roma,2022-2023,38,18,9,11,50.0,1.6578947368421053,1927
Serie A,AS Roma,2023-2024,38,18,9,11,65.0,1.6578947368421053,1927
Serie A,AS Roma,2024-2025,38,20,9,9,56.0,1.8157894736842106,1927
Serie A,Atalanta BC,2021-2022,38,16,11,11,65.0,1.5526315789473684,1907
Serie A,Atalanta BC,2022-2023,38,19,7,12,66.0,1.6842105263157894,1907
Serie A,Atalanta BC,2023-2024,38,21,6,11,72.0,1.8157894736842106,1907
Serie A,Atalanta BC,2024-2025,38,22,8,8,78.0,1.9473684210526316,1907
Serie A,Bologna FC 1909,2021-2022,38,12,10,16,44.0,1.2105263157894737,1909
Serie A,Bologna FC 1909,2022-2023,38,14,12,12,53.0,1.4210526315789473,1909
Serie A,Bologna FC 1909,2023-2024,38,18,14,6,54.0,1.7894736842105263,1909
Serie A,Bologna FC 1909,2024-2025,38,16,14,8,57.0,1.631578947368421,1909
Serie A,Cagliari Calcio,2021-2022,38,6,12,20,34.0,0.7894736842105263,1920
Serie A,Cagliari Calcio,2023-2024,38,8,12,18,42.0,0.9473684210526315,1920
Serie A,Cagliari Calcio,2024-2025,38,9,9,20,40.0,0.9473684210526315,1920
Serie A,Como 1907,2024-2025,38,13,10,15,49.0,1.2894736842105263,1907
Serie A,Empoli FC,2021-2022,38,10,11,17,50.0,1.0789473684210527,1920
Serie A,Empoli FC,2022-2023,38,10,13,15,37.0,1.131578947368421,1920
Serie A,Empoli FC,2023-2024,38,9,9,20,29.0,0.9473684210526315,1920
Serie A,Empoli FC,2024-2025,38,6,13,19,33.0,0.8157894736842105,1920
Serie A,FC Internazionale Milano,2021-2022,38,25,9,4,84.0,2.210526315789474,1908
Serie A,FC Internazionale Milano,2022-2023,38,23,3,12,71.0,1.894736842105263,1908
Serie A,FC Internazionale Milano,2023-2024,38,29,7,2,89.0,2.473684210526316,1908
Serie A,FC Internazionale Milano,2024-2025,37,24,9,4,79.0,2.189189189189189,1908
Serie A,Frosinone Calcio,2023-2024,38,8,11,19,44.0,0.9210526315789473,1906
Serie A,Genoa CFC,2021-2022,38,4,16,18,27.0,0.7368421052631579,1893
Serie A,Genoa CFC,2023-2024,38,12,13,13,45.0,1.2894736842105263,1893
Serie A,Genoa CFC,2024-2025,38,10,13,15,37.0,1.131578947368421,1893
Serie A,Hellas Verona FC,2021-2022,38,14,11,13,65.0,1.394736842105263,1903
Serie A,Hellas Verona FC,2022-2023,38,7,10,21,31.0,0.8157894736842105,1903
Serie A,Hellas Verona FC,2023-2024,38,9,11,18,38.0,1.0,1903
Serie A,Hellas Verona FC,2024-2025,38,10,7,21,34.0,0.9736842105263158,1903
Serie A,Juventus FC,2021-2022,38,20,10,8,57.0,1.8421052631578947,1897
Serie A,Juventus FC,2022-2023,38,22,6,10,56.0,1.894736842105263,1897
Serie A,Juventus FC,2023-2024,38,19,14,5,54.0,1.868421052631579,1897
Serie A,Juventus FC,2024-2025,38,18,16,4,58.0,1.8421052631578947,1897
Serie A,Parma Calcio 1913,2024-2025,38,7,15,16,44.0,0.9473684210526315,1913
Serie A,SS Lazio,2021-2022,76,36,20,20,154.0,1.6842105263157894,1900
Serie A,SS Lazio,2022-2023,76,44,16,16,120.0,1.9473684210526316,1900
Serie A,SS Lazio,2023-2024,76,36,14,26,98.0,1.605263157894737,1900
Serie A,SS Lazio,2024-2025,76,36,22,18,122.0,1.7105263157894737,1900
Serie A,SSC Napoli,2021-2022,38,24,7,7,74.0,2.0789473684210527,1926
Serie A,SSC Napoli,2022-2023,38,28,6,4,77.0,2.3684210526315788,1926
Serie A,SSC Napoli,2023-2024,38,13,14,11,55.0,1.394736842105263,1926
Serie A,SSC Napoli,2024-2025,38,24,10,4,59.0,2.1578947368421053,1926
Serie A,Spezia Calcio,2021-2022,38,10,6,22,41.0,0.9473684210526315,1906
Serie A,Spezia Calcio,2022-2023,38,6,13,19,31.0,0.8157894736842105,1906
Serie A,Torino FC,2021-2022,38,13,11,14,46.0,1.3157894736842106,1906
Serie A,Torino FC,2022-2023,38,14,11,13,42.0,1.394736842105263,1906
Serie A,Torino FC,2023-2024,38,13,14,11,36.0,1.394736842105263,1906
Serie A,Torino FC,2024-2025,38,10,14,14,39.0,1.1578947368421053,1906
Serie A,UC Sampdoria,2021-2022,38,10,6,22,46.0,0.9473684210526315,1946
Serie A,UC Sampdoria,2022-2023,38,3,10,25,24.0,0.5,1946
Serie A,US Cremonese,2022-2023,38,5,12,21,36.0,0.7105263157894737,1903
Serie A,US Lecce,2022-2023,38,8,12,18,33.0,0.9473684210526315,1908
Serie A,US Lecce,2023-2024,38,8,14,16,32.0,1.0,1908
Serie A,US Lecce,2024-2025,38,8,10,20,27.0,0.8947368421052632,1908
Serie A,US Salernitana 1919,2021-2022,76,14,20,42,66.0,0.8157894736842105,1919
Serie A,US Salernitana 1919,2022-2023,76,18,30,28,96.0,1.105263157894737,1919
Serie A,US Salernitana 1919,2023-2024,76,4,22,50,64.0,0.4473684210526316,1919
Serie A,US Sassuolo Calcio,2021-2022,38,13,11,14,64.0,1.3157894736842106,1920
Serie A,US Sassuolo Calcio,2022-2023,38,12,9,17,47.0,1.1842105263157894,1920
Serie A,US Sassuolo Calcio,2023-2024,38,7,9,22,43.0,0.7894736842105263,1920
Serie A,Udinese Calcio,2021-2022,38,11,14,13,61.0,1.236842105263158,1896
Serie A,Udinese Calcio,2022-2023,38,11,13,14,47.0,1.2105263157894737,1896
Serie A,Udinese Calcio,2023-2024,38,6,19,13,37.0,0.9736842105263158,1896
Serie A,Udinese Calcio,2024-2025,38,12,8,18,41.0,1.1578947368421053,1896
Serie A,Venezia FC,2021-2022,38,6,9,23,34.0,0.7105263157894737,1907
Serie A,Venezia FC,2024-2025,38,5,14,19,32.0,0.7631578947368421,1907
