league,team,season,games,wins,draws,losses,pts_total,avg_res_for_game,League,Team,players_amount,avg_age,foreign_players_amount,team_cost_dif,total_cost,year_of_foundation
Bundesliga,BV Borussia 09 Dortmund,2021-2022,34,22,3,9,85.0,2.0294117647058822,Bundesliga,BV Borussia 09 Dortmund,44.0,24.5,25.0,12700000.0,558980000.0,1909
Bundesliga,BV Borussia 09 Dortmund,2022-2023,34,22,5,7,83.0,2.088235294117647,Bundesliga,BV Borussia 09 Dortmund,37.0,25.1,19.0,15340000.0,567550000.0,1909
Bundesliga,BV Borussia 09 Dortmund,2023-2024,34,18,9,7,68.0,1.8529411764705883,Bundesliga,BV Borussia 09 Dortmund,36.0,25.6,17.0,13740000.0,494800000.0,1909
Bundesliga,BV Borussia 09 Dortmund,2024-2025,34,17,6,11,71.0,1.6764705882352942,Bundesliga,BV Borussia 09 Dortmund,43.0,24.1,23.0,11820000.0,508280000.0,1909
Bundesliga,Bayer 04 Leverkusen,2021-2022,34,19,7,8,80.0,1.8823529411764703,Bundesliga,Bayer 04 Leverkusen,35.0,25.1,25.0,13000000.0,455050000.0,1904
Bundesliga,Bayer 04 Leverkusen,2022-2023,34,14,8,12,57.0,1.4705882352941178,Bundesliga,Bayer 04 Leverkusen,35.0,24.8,25.0,12930000.0,452500000.0,1904
Bundesliga,Bayer 04 Leverkusen,2023-2024,34,28,6,0,89.0,2.6470588235294117,Bundesliga,Bayer 04 Leverkusen,32.0,24.9,23.0,20570000.0,658350000.0,1904
Bundesliga,Bayer 04 Leverkusen,2024-2025,34,19,12,3,72.0,2.0294117647058822,Bundesliga,Bayer 04 Leverkusen,34.0,25.1,25.0,18330000.0,623350000.0,1904
Bundesliga,Borussia Mönchengladbach,2021-2022,33,11,9,13,52.0,1.2727272727272727,Bundesliga,Borussia Mönchengladbach,31.0,25.8,14.0,7640000.0,236800000.0,1900
Bundesliga,Borussia Mönchengladbach,2022-2023,34,11,10,13,52.0,1.2647058823529411,Bundesliga,Borussia Mönchengladbach,35.0,25.9,16.0,6910000.0,241680000.0,1900
Bundesliga,Borussia Mönchengladbach,2023-2024,34,7,13,14,56.0,1.0,Bundesliga,Borussia Mönchengladbach,33.0,26.0,18.0,5010000.0,165230000.0,1900
Bundesliga,Borussia Mönchengladbach,2024-2025,34,13,6,15,55.0,1.3235294117647058,Bundesliga,Borussia Mönchengladbach,31.0,25.7,17.0,6050000.0,187500000.0,1900
Bundesliga,DSC Arminia Bielefeld,2021-2022,34,5,13,16,27.0,0.8235294117647058,Bundesliga,DSC Arminia Bielefeld,34.0,25.1,20.0,1940000.0,65850000.0,1905
Bundesliga,Eintracht Frankfurt,2021-2022,34,10,12,12,45.0,1.2352941176470589,Bundesliga,Eintracht Frankfurt,36.0,25.7,23.0,6350000.0,228750000.0,1899
Bundesliga,Eintracht Frankfurt,2022-2023,34,13,11,10,58.0,1.4705882352941178,Bundesliga,Eintracht Frankfurt,36.0,25.6,22.0,9020000.0,324550000.0,1899
Bundesliga,Eintracht Frankfurt,2023-2024,34,11,14,9,51.0,1.3823529411764706,Bundesliga,Eintracht Frankfurt,46.0,24.7,28.0,7100000.0,326650000.0,1899
Bundesliga,Eintracht Frankfurt,2024-2025,34,17,9,8,68.0,1.7647058823529411,Bundesliga,Eintracht Frankfurt,33.0,24.6,24.0,13070000.0,431250000.0,1899
Bundesliga,FC Augsburg,2021-2022,34,10,8,16,39.0,1.1176470588235294,Bundesliga,FC Augsburg,32.0,26.0,20.0,2980000.0,95300000.0,1907
Bundesliga,FC Augsburg,2022-2023,34,9,7,18,42.0,1.0,Bundesliga,FC Augsburg,42.0,25.6,25.0,3150000.0,132230000.0,1907
Bundesliga,FC Augsburg,2023-2024,34,10,9,15,50.0,1.1470588235294117,Bundesliga,FC Augsburg,38.0,25.6,24.0,3710000.0,140800000.0,1907
Bundesliga,FC Augsburg,2024-2025,34,11,10,13,35.0,1.2647058823529411,Bundesliga,FC Augsburg,36.0,26.0,20.0,4410000.0,158880000.0,1907
Bundesliga,FC Bayern München,2021-2022,34,24,5,5,97.0,2.264705882352941,Bundesliga,FC Bayern München,38.0,25.2,20.0,20800000.0,790330000.0,1900
Bundesliga,FC Bayern München,2022-2023,34,21,8,5,92.0,2.088235294117647,Bundesliga,FC Bayern München,35.0,25.7,22.0,27110000.0,948950000.0,1900
Bundesliga,FC Bayern München,2023-2024,34,23,3,8,94.0,2.1176470588235294,Bundesliga,FC Bayern München,39.0,25.2,23.0,24750000.0,965150000.0,1900
Bundesliga,FC Bayern München,2024-2025,34,25,7,2,99.0,2.411764705882353,Bundesliga,FC Bayern München,43.0,24.6,22.0,22180000.0,953550000.0,1900
