league,team,season,games,wins,draws,losses,goals_total,players_amount,avg_age,foreign_players_amount,team_cost_dif,total_cost,avg_res_for_game,year_of_foundation,sellouts,total_attendance,avg_attendance
Bundesliga,SV Werder Bremen,2024-2025,34,14,9,11,54.0,33.0,25.9,17.0,4000000.0,132000000.0,1.5,124.0,,,
Bundesliga,SpVgg Greuther Fürth 1903,2021-2022,34,3,9,22,28.0,34.0,25.1,16.0,1090000.0,36950000.0,0.5294117647058824,,,,
Bundesliga,TSG 1899 Hoffenheim,2021-2022,34,13,7,14,58.0,40.0,25.3,22.0,5290000.0,211430000.0,1.3529411764705883,124.0,2.0,190866,11929
Bundesliga,TSG 1899 Hoffenheim,2022-2023,34,10,6,18,48.0,37.0,26.2,22.0,4830000.0,178800000.0,1.0588235294117647,124.0,,,
Bundesliga,TSG 1899 Hoffenheim,2023-2024,34,13,7,14,66.0,34.0,26.1,14.0,5180000.0,176000000.0,1.3529411764705883,124.0,5.0,417503,24559
Bundesliga,TSG 1899 Hoffenheim,2024-2025,34,7,11,16,46.0,48.0,25.1,27.0,3900000.0,187100000.0,0.9411764705882352,124.0,,,
Bundesliga,VfB Stuttgart,2021-2022,34,7,12,15,41.0,39.0,24.0,23.0,4470000.0,174230000.0,0.9705882352941176,130.0,4.0,462522,28908
Bundesliga,VfB Stuttgart,2022-2023,34,7,12,15,45.0,39.0,23.7,23.0,3870000.0,151050000.0,0.9705882352941176,130.0,,,
Bundesliga,VfB Stuttgart,2023-2024,34,23,4,7,78.0,38.0,24.4,19.0,9120000.0,346630000.0,2.1470588235294117,130.0,10.0,937058,55121
Bundesliga,VfB Stuttgart,2024-2025,34,14,8,12,64.0,39.0,24.2,18.0,9360000.0,365230000.0,1.4705882352941178,130.0,,,
Bundesliga,VfL Bochum 1848,2021-2022,34,12,6,15,38.0,33.0,27.7,17.0,1580000.0,52250000.0,1.2352941176470589,,,,
Bundesliga,VfL Bochum 1848,2022-2023,34,10,5,19,40.0,32.0,28.3,18.0,1680000.0,53700000.0,1.0294117647058822,,,,
Bundesliga,VfL Bochum 1848,2023-2024,34,7,12,15,42.0,34.0,28.3,15.0,1900000.0,64530000.0,0.9705882352941176,,,,
Bundesliga,VfL Bochum 1848,2024-2025,34,5,7,21,31.0,33.0,27.0,16.0,1730000.0,57100000.0,0.6470588235294118,,,,
Bundesliga,VfL Wolfsburg,2021-2022,34,12,6,16,43.0,37.0,25.7,24.0,7280000.0,269300000.0,1.2352941176470589,78.0,2.0,204301,12018
Bundesliga,VfL Wolfsburg,2022-2023,34,13,10,11,57.0,33.0,25.1,20.0,7220000.0,238300000.0,1.4411764705882353,78.0,,,
Bundesliga,VfL Wolfsburg,2023-2024,34,10,7,17,41.0,33.0,25.0,20.0,6260000.0,206450000.0,1.088235294117647,78.0,6.0,440585,25917
Bundesliga,VfL Wolfsburg,2024-2025,34,11,10,13,56.0,39.0,25.5,25.0,7600000.0,296300000.0,1.2647058823529411,78.0,,,
La Liga,CA Osasuna,2021-2022,38,12,11,15,37.0,32.0,27.4,3.0,3390000.0,108450000.0,1.236842105263158,103.0,0.0,327009,17211
La Liga,CA Osasuna,2022-2023,38,15,8,15,37.0,31.0,27.2,4.0,4840000.0,150050000.0,1.394736842105263,103.0,,,
La Liga,CA Osasuna,2022-2023,38,15,8,15,37.0,42.0,26.5,19.0,1300000.0,54800000.0,1.394736842105263,103.0,,,
La Liga,CA Osasuna,2023-2024,38,12,9,17,45.0,32.0,27.2,5.0,3290000.0,105350000.0,1.1842105263157894,103.0,0.0,374360,19703
La Liga,CA Osasuna,2024-2025,38,12,16,10,48.0,34.0,26.7,4.0,3330000.0,113280000.0,1.368421052631579,103.0,,,
La Liga,CA Osasuna,2024-2025,38,12,16,10,48.0,38.0,24.7,21.0,2290000.0,86900000.0,1.368421052631579,103.0,,,
La Liga,CD Leganés,2024-2025,38,9,13,16,39.0,40.0,26.1,16.0,1200000.0,47980000.0,1.0526315789473684,95.0,,,
La Liga,Club Atlético de Madrid,2021-2022,38,21,8,9,65.0,43.0,25.7,24.0,15390000.0,661800000.0,1.868421052631579,120.0,0.0,912746,48039
La Liga,Club Atlético de Madrid,2021-2022,38,21,8,9,65.0,31.0,26.2,1.0,7290000.0,226050000.0,1.868421052631579,120.0,0.0,912746,48039
