league,team,season,games,wins,draws,losses,goals_total,players_amount,avg_age,foreign_players_amount,team_cost_dif,total_cost,avg_res_for_game,year_of_foundation,sellouts,total_attendance,avg_attendance
Liga Portugal,FC Porto,2023-2024,34,22,6,6,63.0,38.0,25.9,21.0,9730000.0,369650000.0,2.1176470588235294,130.0,0.0,644503,37912
Liga Portugal,FC Porto,2024-2025,34,22,5,7,65.0,42.0,24.9,25.0,11420000.0,479450000.0,2.088235294117647,130.0,,,
Liga Portugal,FC Vizela,2021-2022,34,7,12,15,37.0,42.0,25.1,26.0,398000.0,16700000.0,0.9705882352941176,84.0,,,
Liga Portugal,FC Vizela,2022-2023,34,11,7,16,34.0,34.0,24.8,24.0,543000.0,18480000.0,1.1764705882352942,84.0,,,
Liga Portugal,FC Vizela,2023-2024,34,5,11,18,36.0,38.0,25.4,26.0,601000.0,22850000.0,0.7647058823529411,84.0,,,
Liga Portugal,GD Chaves,2023-2024,34,5,8,21,31.0,35.0,25.2,21.0,2070000.0,72500000.0,0.6764705882352942,74.0,,,
Liga Portugal,Gil Vicente FC,2021-2022,34,13,12,9,47.0,31.0,25.9,22.0,959000.0,29730000.0,1.5,99.0,0.0,60175,3540
Liga Portugal,Gil Vicente FC,2022-2023,34,10,7,17,32.0,36.0,25.5,22.0,1300000.0,46850000.0,1.088235294117647,99.0,,,
Liga Portugal,Gil Vicente FC,2023-2024,34,9,9,16,42.0,38.0,24.7,22.0,846000.0,32150000.0,1.0588235294117647,99.0,0.0,84491,4970
Liga Portugal,Gil Vicente FC,2024-2025,34,8,10,16,34.0,37.0,25.0,26.0,1010000.0,37250000.0,1.0,99.0,,,
Liga Portugal,Moreirense FC,2021-2022,34,7,8,19,33.0,30.0,27.3,20.0,633000.0,19000000.0,0.8529411764705882,85.0,0.0,29766,1751
Liga Portugal,Moreirense FC,2023-2024,34,16,7,11,36.0,34.0,26.2,23.0,791000.0,26900000.0,1.6176470588235294,85.0,0.0,43643,2567
Liga Portugal,Moreirense FC,2024-2025,34,10,10,14,42.0,32.0,26.8,22.0,983000.0,31450000.0,1.1764705882352942,85.0,,,
Liga Portugal,Portimonense SC,2021-2022,34,10,8,16,31.0,41.0,25.8,32.0,936000.0,38380000.0,1.1176470588235294,109.0,,,
Liga Portugal,Portimonense SC,2021-2022,34,10,8,16,31.0,41.0,24.7,20.0,488000.0,20000000.0,1.1176470588235294,109.0,,,
Liga Portugal,Portimonense SC,2022-2023,34,10,4,20,25.0,43.0,25.9,34.0,734000.0,31580000.0,1.0,109.0,,,
Liga Portugal,Portimonense SC,2023-2024,34,8,8,18,39.0,40.0,24.6,31.0,557000.0,22280000.0,0.9411764705882352,109.0,,,
Liga Portugal,Rio Ave FC,2022-2023,34,10,10,14,36.0,31.0,27.0,16.0,574000.0,17800000.0,1.1764705882352942,84.0,,,
Liga Portugal,Rio Ave FC,2023-2024,34,6,19,9,38.0,35.0,27.6,17.0,749000.0,26200000.0,1.088235294117647,84.0,0.0,53532,3149
Liga Portugal,Rio Ave FC,2024-2025,34,9,11,14,39.0,42.0,24.8,31.0,1180000.0,49680000.0,1.1176470588235294,84.0,,,
Liga Portugal,SC Braga,2021-2022,34,19,8,7,52.0,46.0,24.8,17.0,3460000.0,159030000.0,1.911764705882353,102.0,0.0,134270,7898
Liga Portugal,SC Braga,2022-2023,34,25,3,6,75.0,35.0,25.3,17.0,4310000.0,150750000.0,2.2941176470588234,102.0,,,
Liga Portugal,SC Braga,2023-2024,34,21,5,8,71.0,34.0,26.6,19.0,4690000.0,159400000.0,2.0,102.0,0.0,262566,15445
Liga Portugal,SC Braga,2024-2025,34,19,9,6,55.0,46.0,24.6,23.0,4060000.0,186800000.0,1.9411764705882353,102.0,,,
Liga Portugal,SC Farense,2023-2024,34,10,7,17,46.0,31.0,27.9,18.0,647000.0,20050000.0,1.088235294117647,113.0,,,
Liga Portugal,SC Farense,2024-2025,34,6,9,19,25.0,40.0,27.2,20.0,663000.0,26530000.0,0.7941176470588235,113.0,,,
Liga Portugal,Sport Lisboa e Benfica,2021-2022,34,23,5,6,78.0,41.0,25.9,24.0,7570000.0,310180000.0,2.176470588235294,119.0,0.0,543257,31956
Liga Portugal,Sport Lisboa e Benfica,2022-2023,34,28,3,3,82.0,43.0,25.6,25.0,11110000.0,477580000.0,2.5588235294117645,119.0,,,
Liga Portugal,Sport Lisboa e Benfica,2023-2024,34,25,5,4,77.0,41.0,24.6,24.0,10430000.0,427600000.0,2.3529411764705883,119.0,0.0,956219,56248
Liga Portugal,Sport Lisboa e Benfica,2024-2025,34,25,5,4,84.0,49.0,24.0,24.0,9090000.0,445250000.0,2.3529411764705883,119.0,,,
Liga Portugal,Sporting CP,2021-2022,34,27,4,3,73.0,38.0,24.5,16.0,8890000.0,337730000.0,2.5,117.0,0.0,427698,25159
Liga Portugal,Sporting CP,2022-2023,34,23,5,6,71.0,43.0,24.0,19.0,8530000.0,366600000.0,2.176470588235294,117.0,,,
Liga Portugal,Sporting CP,2023-2024,34,29,3,2,96.0,39.0,24.2,16.0,9850000.0,384200000.0,2.6470588235294117,117.0,2.0,681727,40102
Liga Portugal,Sporting CP,2024-2025,34,25,7,2,88.0,50.0,22.8,20.0,11340000.0,567100000.0,2.411764705882353,117.0,,,
Liga Portugal,Vitória SC,2021-2022,34,13,9,12,50.0,37.0,24.6,18.0,1840000.0,68000000.0,1.411764705882353,101.0,0.0,183057,11441
Liga Portugal,Vitória SC,2022-2023,34,16,5,13,34.0,46.0,23.6,22.0,1570000.0,72400000.0,1.5588235294117647,101.0,,,
Liga Portugal,Vitória SC,2023-2024,34,19,6,9,52.0,39.0,25.4,16.0,1740000.0,67900000.0,1.8529411764705883,101.0,0.0,295592,17388
Liga Portugal,Vitória SC,2024-2025,34,14,12,8,47.0,39.0,25.2,13.0,2560000.0,99650000.0,1.588235294117647,101.0,,,
Ligue 1,AC Ajaccio,2022-2023,38,7,5,26,23.0,41.0,27.1,24.0,659000.0,27000000.0,0.6842105263157895,113.0,,,
Ligue 1,AS Monaco FC,2021-2022,38,20,9,9,65.0,41.0,23.7,24.0,9660000.0,396000000.0,1.8157894736842104,99.0,0.0,112257,5908
Ligue 1,AS Monaco FC,2022-2023,38,19,8,11,70.0,32.0,24.3,18.0,11510000.0,368300000.0,1.7105263157894737,99.0,,,
Ligue 1,AS Monaco FC,2023-2024,34,20,7,7,68.0,40.0,24.0,22.0,9960000.0,398550000.0,1.9705882352941175,99.0,0.0,127840,7520
Ligue 1,AS Monaco FC,2024-2025,34,18,7,9,63.0,37.0,23.6,23.0,11110000.0,411150000.0,1.7941176470588236,99.0,,,
Ligue 1,AS Saint-Étienne,2021-2022,38,7,11,20,42.0,44.0,24.4,23.0,2400000.0,105650000.0,0.8421052631578947,90.0,,,
Ligue 1,AS Saint-Étienne,2024-2025,34,7,6,20,37.0,39.0,25.3,17.0,2090000.0,81600000.0,0.7941176470588235,90.0,,,
Ligue 1,Clermont Foot 63,2021-2022,38,9,9,20,38.0,39.0,25.5,23.0,1410000.0,55100000.0,0.9473684210526316,112.0,,,
Ligue 1,Clermont Foot 63,2022-2023,38,17,8,13,45.0,33.0,26.3,21.0,1450000.0,48000000.0,1.5526315789473684,112.0,,,
Ligue 1,Clermont Foot 63,2023-2024,34,5,10,19,26.0,36.0,25.2,20.0,1700000.0,61350000.0,0.7352941176470589,112.0,,,
Ligue 1,FC Girondins de Bordeaux,2021-2022,38,6,13,19,52.0,54.0,24.5,32.0,2160000.0,116850000.0,0.8157894736842105,142.0,,,
Ligue 1,FC Lorient,2021-2022,38,8,12,18,35.0,35.0,25.8,15.0,1750000.0,61300000.0,0.9473684210526316,97.0,0.0,242024,12738
Ligue 1,FC Lorient,2022-2023,38,15,10,13,52.0,42.0,24.6,17.0,4180000.0,175450000.0,1.4473684210526316,97.0,,,
Ligue 1,FC Lorient,2023-2024,34,7,8,19,43.0,45.0,24.7,27.0,2930000.0,131850000.0,0.8529411764705882,97.0,0.0,267191,15717
Ligue 1,FC Metz,2021-2022,38,6,13,19,35.0,41.0,25.6,28.0,2220000.0,91050000.0,0.8157894736842105,91.0,1.0,307303,16174
Ligue 1,FC Metz,2023-2024,34,8,5,21,35.0,37.0,25.5,27.0,1770000.0,65400000.0,0.8529411764705882,91.0,2.0,405246,23838
Ligue 1,FC Nantes,2021-2022,38,15,10,13,55.0,31.0,26.1,17.0,3630000.0,112650000.0,1.4473684210526316,80.0,0.0,389211,20485
Ligue 1,FC Nantes,2022-2023,38,7,15,16,37.0,37.0,26.0,20.0,3230000.0,119200000.0,0.9473684210526316,80.0,,,
Ligue 1,FC Nantes,2023-2024,34,9,6,19,30.0,43.0,25.2,22.0,2930000.0,125900000.0,0.9705882352941176,80.0,0.0,468429,29277
Ligue 1,FC Nantes,2024-2025,34,8,12,14,39.0,34.0,26.6,19.0,3370000.0,114650000.0,1.0588235294117647,80.0,,,
Ligue 1,Lille OSC,2021-2022,38,14,13,11,48.0,41.0,24.6,29.0,7480000.0,306880000.0,1.4473684210526316,79.0,0.0,656568,34556
Ligue 1,Lille OSC,2022-2023,38,19,10,9,65.0,33.0,25.3,20.0,7510000.0,247950000.0,1.763157894736842,79.0,,,
Ligue 1,Lille OSC,2023-2024,34,16,11,7,52.0,41.0,23.8,25.0,8020000.0,328900000.0,1.7352941176470589,79.0,0.0,678844,39932
Ligue 1,Lille OSC,2024-2025,34,17,9,8,52.0,40.0,25.4,23.0,8420000.0,336600000.0,1.7647058823529411,79.0,,,
Ligue 1,Montpellier HSC,2021-2022,38,12,7,19,49.0,36.0,25.3,17.0,4020000.0,144600000.0,1.131578947368421,104.0,,,
Ligue 1,Montpellier HSC,2022-2023,38,15,5,18,65.0,39.0,25.1,19.0,3660000.0,142900000.0,1.3157894736842106,104.0,,,
Ligue 1,Montpellier HSC,2023-2024,34,10,12,12,43.0,37.0,24.8,19.0,3930000.0,145580000.0,1.2352941176470589,104.0,,,
Ligue 1,Montpellier HSC,2024-2025,34,4,4,25,23.0,40.0,25.2,23.0,1650000.0,65850000.0,0.4705882352941176,104.0,,,
Ligue 1,Olympique Lyonnais,2021-2022,38,17,11,10,66.0,40.0,24.9,21.0,9940000.0,397700000.0,1.631578947368421,124.0,0.0,614267,36133
Ligue 1,Olympique Lyonnais,2022-2023,38,18,8,12,65.0,34.0,25.5,16.0,10320000.0,350950000.0,1.631578947368421,124.0,,,
Ligue 1,Olympique Lyonnais,2023-2024,34,16,5,13,49.0,39.0,25.5,24.0,7840000.0,305950000.0,1.5588235294117647,124.0,0.0,762905,44877
Ligue 1,Olympique Lyonnais,2024-2025,34,17,6,11,65.0,37.0,26.0,27.0,8370000.0,309850000.0,1.6764705882352942,124.0,,,
Ligue 1,Olympique de Marseille,2021-2022,38,21,8,9,63.0,38.0,24.0,22.0,7490000.0,284700000.0,1.868421052631579,124.0,0.0,979342,54408
Ligue 1,Olympique de Marseille,2022-2023,38,22,7,9,67.0,37.0,25.6,29.0,8960000.0,331550000.0,1.9210526315789471,124.0,,,
Ligue 1,Olympique de Marseille,2023-2024,34,13,11,10,52.0,49.0,24.4,31.0,6360000.0,311400000.0,1.4705882352941178,124.0,0.0,979342,61209
Ligue 1,Olympique de Marseille,2024-2025,34,20,5,9,74.0,40.0,24.9,27.0,8950000.0,358000000.0,1.911764705882353,124.0,,,
Ligue 1,Paris Saint-Germain FC,2021-2022,38,26,8,4,90.0,41.0,26.2,28.0,21350000.0,875150000.0,2.263157894736842,53.0,0.0,790188,41589
Ligue 1,Paris Saint-Germain FC,2022-2023,38,27,4,7,89.0,37.0,25.9,24.0,24080000.0,891100000.0,2.236842105263158,53.0,,,
Ligue 1,Paris Saint-Germain FC,2023-2024,34,22,10,2,81.0,36.0,24.9,21.0,28360000.0,1020000000.0,2.235294117647059,53.0,0.0,802387,47199
Ligue 1,Paris Saint-Germain FC,2024-2025,34,26,6,2,92.0,34.0,23.6,21.0,33590000.0,1140000000.0,2.4705882352941178,53.0,,,
Ligue 1,RC Strasbourg Alsace,2021-2022,38,17,12,9,60.0,33.0,25.4,19.0,3640000.0,120050000.0,1.6578947368421053,117.0,0.0,447467,23551
Ligue 1,RC Strasbourg Alsace,2022-2023,38,9,13,16,51.0,36.0,26.0,17.0,3430000.0,123550000.0,1.0526315789473684,117.0,,,
Ligue 1,RC Strasbourg Alsace,2023-2024,34,10,9,15,38.0,39.0,24.0,22.0,4040000.0,157700000.0,1.1470588235294117,117.0,3.0,431109,25359
Ligue 1,RC Strasbourg Alsace,2024-2025,34,16,9,9,56.0,42.0,22.2,26.0,7330000.0,307850000.0,1.6764705882352942,117.0,,,
Ligue 1,Stade Brestois 29,2021-2022,38,13,9,16,49.0,30.0,26.0,11.0,3440000.0,103150000.0,1.263157894736842,73.0,0.0,222498,11710
Ligue 1,Stade Brestois 29,2022-2023,38,11,11,16,44.0,32.0,26.3,16.0,2400000.0,76650000.0,1.1578947368421053,73.0,,,
Ligue 1,Stade Brestois 29,2023-2024,34,17,10,7,53.0,31.0,25.9,10.0,3710000.0,115150000.0,1.7941176470588236,73.0,4.0,247757,14574
Ligue 1,Stade Brestois 29,2024-2025,34,15,5,14,52.0,37.0,25.6,14.0,2990000.0,110650000.0,1.4705882352941178,73.0,,,
Ligue 1,Stade de Reims,2021-2022,38,11,13,14,43.0,36.0,23.3,12.0,8480000.0,305350000.0,1.2105263157894737,92.0,,,
Ligue 1,Stade de Reims,2021-2022,38,11,13,14,43.0,40.0,24.0,30.0,3740000.0,149400000.0,1.2105263157894737,92.0,,,
Ligue 1,Stade de Reims,2022-2023,38,12,15,11,45.0,38.0,24.3,19.0,10200000.0,387750000.0,1.3421052631578947,92.0,,,
Ligue 1,Stade de Reims,2022-2023,38,12,15,11,45.0,40.0,23.8,30.0,3980000.0,159050000.0,1.3421052631578947,92.0,,,
Ligue 1,Stade de Reims,2023-2024,34,13,8,13,42.0,36.0,24.8,18.0,10430000.0,375350000.0,1.3823529411764706,92.0,,,
Ligue 1,Stade de Reims,2023-2024,34,13,8,13,42.0,39.0,23.9,27.0,3450000.0,134550000.0,1.3823529411764706,92.0,,,
Ligue 1,Stade de Reims,2024-2025,34,8,9,17,33.0,43.0,25.2,26.0,6850000.0,294700000.0,0.9705882352941176,92.0,,,
Ligue 1,Stade de Reims,2024-2025,34,8,9,17,33.0,40.0,24.0,32.0,3810000.0,152500000.0,0.9705882352941176,92.0,,,
Ligue 1,Toulouse FC,2022-2023,38,13,9,16,51.0,37.0,24.0,30.0,2830000.0,104800000.0,1.263157894736842,86.0,,,
Ligue 1,Toulouse FC,2023-2024,34,11,10,13,42.0,39.0,23.3,27.0,3720000.0,145200000.0,1.2647058823529411,86.0,0.0,438735,25808
Ligue 1,Toulouse FC,2024-2025,34,11,9,14,44.0,34.0,24.4,23.0,3580000.0,121600000.0,1.2352941176470589,86.0,,,
Premier League,AFC Bournemouth,2022-2023,38,11,6,21,37.0,47.0,25.0,23.0,6110000.0,287200000.0,1.0263157894736843,124.0,,,
Premier League,AFC Bournemouth,2023-2024,38,13,9,16,54.0,42.0,25.7,26.0,9570000.0,401750000.0,1.263157894736842,124.0,1.0,210868,11098
Premier League,AFC Bournemouth,2024-2025,38,15,11,12,58.0,39.0,24.7,25.0,13300000.0,518600000.0,1.4736842105263157,124.0,,,
Premier League,Arsenal FC,2021-2022,38,22,3,13,61.0,41.0,24.0,24.0,14950000.0,613050000.0,1.8157894736842104,137.0,0.0,1136406,59811
Premier League,Arsenal FC,2022-2023,38,26,6,6,88.0,42.0,24.0,25.0,23830000.0,1000000000.0,2.210526315789474,137.0,,,
Premier League,Arsenal FC,2023-2024,38,28,5,5,91.0,40.0,24.6,23.0,30080000.0,1200000000.0,2.3421052631578947,137.0,0.0,1144488,60236
Premier League,Arsenal FC,2024-2025,38,20,14,4,69.0,42.0,24.5,26.0,27580000.0,1160000000.0,1.9473684210526316,137.0,,,
Premier League,Aston Villa FC,2021-2022,38,13,6,19,52.0,44.0,24.8,21.0,11090000.0,487750000.0,1.1842105263157894,149.0,0.0,708067,41651
Premier League,Aston Villa FC,2022-2023,38,18,7,13,51.0,43.0,25.4,23.0,11850000.0,509550000.0,1.605263157894737,149.0,,,
Premier League,Aston Villa FC,2023-2024,38,20,8,10,76.0,45.0,25.0,23.0,15770000.0,709650000.0,1.7894736842105263,149.0,0.0,796501,41921
Premier League,Aston Villa FC,2024-2025,38,19,9,10,58.0,41.0,25.2,24.0,16600000.0,680550000.0,1.736842105263158,149.0,,,
Premier League,Brentford FC,2021-2022,38,13,7,18,48.0,38.0,24.7,27.0,7190000.0,273300000.0,1.2105263157894737,134.0,0.0,304327,16907
Premier League,Brentford FC,2022-2023,38,15,14,9,58.0,36.0,25.3,26.0,10310000.0,371200000.0,1.5526315789473684,134.0,,,
Premier League,Brentford FC,2023-2024,38,10,9,19,56.0,42.0,24.3,29.0,10210000.0,428780000.0,1.0263157894736843,134.0,0.0,324565,17082
Premier League,Brentford FC,2024-2025,38,16,8,14,66.0,38.0,24.4,27.0,11260000.0,427850000.0,1.4736842105263157,134.0,,,
Premier League,Brighton & Hove Albion FC,2021-2022,38,12,15,11,42.0,43.0,24.6,31.0,7400000.0,318000000.0,1.3421052631578947,122.0,0.0,587918,30943
Premier League,Brighton & Hove Albion FC,2022-2023,38,18,8,12,72.0,42.0,24.1,28.0,12610000.0,529800000.0,1.631578947368421,122.0,,,
Premier League,Brighton & Hove Albion FC,2023-2024,38,12,12,14,55.0,49.0,24.2,33.0,10700000.0,524400000.0,1.263157894736842,122.0,0.0,599319,31543
Premier League,Brighton & Hove Albion FC,2024-2025,38,16,13,9,66.0,49.0,24.2,33.0,13620000.0,667580000.0,1.605263157894737,122.0,,,
Premier League,Chelsea FC,2021-2022,38,21,11,6,76.0,44.0,25.6,26.0,20780000.0,914500000.0,1.9473684210526316,118.0,0.0,692419,36443
Premier League,Chelsea FC,2022-2023,38,11,11,16,38.0,43.0,25.2,27.0,23130000.0,994950000.0,1.1578947368421053,118.0,,,
Premier League,Chelsea FC,2023-2024,38,18,9,11,77.0,56.0,22.2,26.0,18100000.0,1010000000.0,1.6578947368421053,118.0,0.0,751952,39576
Premier League,Chelsea FC,2024-2025,38,20,9,9,64.0,58.0,22.4,30.0,20590000.0,1190000000.0,1.8157894736842104,118.0,,,
Premier League,Crystal Palace FC,2021-2022,38,11,15,12,50.0,33.0,26.5,16.0,8210000.0,271050000.0,1.263157894736842,118.0,0.0,461349,24282
Premier League,Crystal Palace FC,2022-2023,38,11,12,15,40.0,39.0,25.4,19.0,8280000.0,323050000.0,1.1842105263157894,118.0,,,
Premier League,Crystal Palace FC,2023-2024,38,13,10,15,57.0,40.0,25.1,17.0,11160000.0,446550000.0,1.2894736842105263,118.0,0.0,472742,24881
Premier League,Crystal Palace FC,2024-2025,38,13,14,11,51.0,40.0,26.2,18.0,13170000.0,526850000.0,1.394736842105263,118.0,,,
Premier League,Everton FC,2021-2022,38,11,6,21,43.0,42.0,26.0,24.0,11410000.0,479050000.0,1.0263157894736843,145.0,0.0,738758,38882
Premier League,Everton FC,2022-2023,38,8,12,18,34.0,40.0,26.9,21.0,10330000.0,413150000.0,0.9473684210526316,145.0,,,
Premier League,Everton FC,2023-2024,38,13,9,16,40.0,34.0,26.8,16.0,11520000.0,391750000.0,1.263157894736842,145.0,0.0,741793,39042
Premier League,Everton FC,2024-2025,38,11,15,12,42.0,39.0,25.8,21.0,9310000.0,363230000.0,1.263157894736842,145.0,,,
Premier League,Fulham FC,2022-2023,38,15,7,16,55.0,47.0,25.9,35.0,6280000.0,295100000.0,1.368421052631579,144.0,,,
Premier League,Fulham FC,2023-2024,38,13,8,17,55.0,35.0,26.9,31.0,10980000.0,384350000.0,1.236842105263158,144.0,0.0,461722,24301
Premier League,Fulham FC,2024-2025,38,15,9,14,54.0,28.0,27.7,21.0,12940000.0,362350000.0,1.4210526315789471,144.0,,,
Premier League,Ipswich Town FC,2024-2025,38,4,10,24,36.0,35.0,26.6,17.0,7720000.0,270100000.0,0.5789473684210527,145.0,,,
Premier League,Leeds United FC,2021-2022,38,9,11,18,42.0,35.0,24.9,20.0,8560000.0,299450000.0,1.0,104.0,0.0,653140,36286
Premier League,Leeds United FC,2022-2023,38,7,10,21,48.0,47.0,24.6,31.0,7340000.0,345150000.0,0.8157894736842105,104.0,,,
Premier League,Leicester City FC,2021-2022,38,14,10,14,62.0,40.0,25.7,26.0,13160000.0,526550000.0,1.368421052631579,139.0,,,
Premier League,Leicester City FC,2022-2023,38,9,7,22,51.0,38.0,26.4,25.0,12910000.0,490700000.0,0.8947368421052632,139.0,,,
Premier League,Leicester City FC,2024-2025,38,6,7,25,33.0,40.0,25.3,24.0,6330000.0,253350000.0,0.6578947368421053,139.0,,,
Premier League,Liverpool FC,2021-2022,38,28,8,2,94.0,49.0,24.5,29.0,18750000.0,918900000.0,2.4210526315789473,131.0,0.0,1007153,53008
Premier League,Liverpool FC,2022-2023,38,19,10,9,75.0,39.0,25.3,24.0,20820000.0,811850000.0,1.763157894736842,131.0,,,
Premier League,Liverpool FC,2023-2024,38,24,10,4,86.0,45.0,24.2,30.0,21240000.0,955650000.0,2.1578947368421053,131.0,0.0,1060362,55809
Premier League,Liverpool FC,2024-2025,38,25,9,4,86.0,35.0,24.7,21.0,27170000.0,950950000.0,2.210526315789474,131.0,,,
Premier League,Luton Town FC,2023-2024,38,6,8,24,52.0,46.0,25.7,22.0,3060000.0,140900000.0,0.6842105263157895,138.0,,,
Premier League,Manchester City FC,2021-2022,38,29,6,3,99.0,39.0,24.7,23.0,25740000.0,1000000000.0,2.4473684210526314,143.0,0.0,1002028,52738
Premier League,Manchester City FC,2022-2023,38,28,5,5,94.0,34.0,26.0,21.0,33700000.0,1150000000.0,2.3421052631578947,143.0,,,
Premier League,Manchester City FC,2023-2024,38,28,7,3,96.0,36.0,25.7,21.0,40630000.0,1460000000.0,2.3947368421052633,143.0,1.0,1012469,53288
Premier League,Manchester City FC,2024-2025,38,21,8,9,72.0,44.0,25.6,27.0,30860000.0,1360000000.0,1.868421052631579,143.0,,,
Premier League,Manchester United FC,2021-2022,38,16,10,12,57.0,43.0,26.0,29.0,17890000.0,769150000.0,1.5263157894736843,145.0,0.0,1389856,73150
Premier League,Manchester United FC,2022-2023,38,23,6,9,58.0,48.0,25.4,30.0,17660000.0,847750000.0,1.9736842105263157,145.0,,,
Premier League,Manchester United FC,2023-2024,38,18,6,14,57.0,46.0,24.9,28.0,17570000.0,808350000.0,1.5789473684210529,145.0,0.0,1397148,73534
Premier League,Manchester United FC,2024-2025,38,11,9,18,44.0,49.0,24.0,29.0,16840000.0,825000000.0,1.105263157894737,145.0,,,
Premier League,Newcastle United FC,2021-2022,38,13,10,15,44.0,44.0,27.9,29.0,9230000.0,313900000.0,1.2894736842105263,131.0,0.0,978251,51487
Premier League,Newcastle United FC,2022-2023,38,19,14,5,68.0,38.0,28.3,22.0,14250000.0,541600000.0,1.868421052631579,131.0,,,
Premier League,Newcastle United FC,2023-2024,38,18,6,14,85.0,45.0,26.3,21.0,14490000.0,652250000.0,1.5789473684210529,131.0,0.0,990904,52153
Premier League,Newcastle United FC,2024-2025,38,20,6,12,68.0,36.0,27.5,15.0,18820000.0,677530000.0,1.736842105263158,131.0,,,
Premier League,Norwich City FC,2021-2022,38,5,7,26,23.0,45.0,24.7,29.0,3630000.0,163200000.0,0.5789473684210527,121.0,,,
Premier League,Nottingham Forest FC,2022-2023,38,9,11,18,38.0,50.0,26.6,29.0,7530000.0,376250000.0,1.0,158.0,,,
Premier League,Nottingham Forest FC,2023-2024,38,9,9,20,49.0,46.0,26.6,36.0,10900000.0,501350000.0,0.9473684210526316,158.0,0.0,558326,29386
Premier League,Nottingham Forest FC,2024-2025,38,19,8,11,58.0,33.0,26.8,23.0,14580000.0,481300000.0,1.7105263157894737,158.0,,,
Premier League,Sheffield United FC,2023-2024,38,3,7,28,35.0,45.0,24.7,26.0,3390000.0,152350000.0,0.4210526315789473,134.0,,,
Premier League,Southampton FC,2021-2022,38,9,13,16,43.0,33.0,25.6,19.0,8310000.0,274300000.0,1.0526315789473684,138.0,,,
Premier League,Southampton FC,2022-2023,38,6,7,25,36.0,46.0,24.8,25.0,9130000.0,419950000.0,0.6578947368421053,138.0,,,
Premier League,Southampton FC,2024-2025,38,2,6,30,26.0,42.0,25.3,23.0,7380000.0,310050000.0,0.3157894736842105,138.0,,,
Premier League,Tottenham Hotspur FC,2021-2022,38,22,5,11,69.0,45.0,24.0,26.0,15320000.0,689350000.0,1.868421052631579,141.0,0.0,1073936,56523
Premier League,Tottenham Hotspur FC,2022-2023,38,18,6,14,70.0,42.0,25.9,21.0,19090000.0,649100000.0,1.5789473684210529,141.0,,,
Premier League,Tottenham Hotspur FC,2023-2024,38,20,6,12,74.0,41.0,25.6,28.0,20450000.0,838500000.0,1.736842105263158,141.0,0.0,1167725,61459
Premier League,Tottenham Hotspur FC,2024-2025,38,11,5,22,64.0,41.0,24.0,23.0,18960000.0,777300000.0,1.0,141.0,,,
Premier League,Watford FC,2021-2022,38,6,5,27,34.0,47.0,26.4,36.0,3320000.0,156200000.0,0.6052631578947368,142.0,,,
Premier League,West Ham United FC,2021-2022,38,16,8,14,60.0,37.0,26.3,20.0,9590000.0,354900000.0,1.4736842105263157,128.0,1.0,1112814,58569
Premier League,West Ham United FC,2022-2023,38,11,7,20,42.0,44.0,25.4,25.0,10580000.0,465600000.0,1.0526315789473684,128.0,,,
Premier League,West Ham United FC,2023-2024,38,14,10,14,60.0,36.0,26.6,20.0,13540000.0,487500000.0,1.368421052631579,128.0,0.0,1186367,62440
Premier League,West Ham United FC,2024-2025,38,11,10,17,46.0,29.0,28.0,19.0,13820000.0,400700000.0,1.131578947368421,128.0,,,
Premier League,Wolverhampton Wanderers FC,2021-2022,38,15,6,17,38.0,38.0,24.8,30.0,9920000.0,376950000.0,1.3421052631578947,146.0,0.0,521772,30692
Premier League,Wolverhampton Wanderers FC,2022-2023,38,11,8,19,31.0,43.0,25.8,34.0,11570000.0,497650000.0,1.0789473684210529,146.0,,,
Premier League,Wolverhampton Wanderers FC,2023-2024,38,13,7,18,50.0,47.0,25.3,32.0,9420000.0,442730000.0,1.2105263157894737,146.0,0.0,589697,31037
Premier League,Wolverhampton Wanderers FC,2024-2025,38,12,6,20,54.0,44.0,25.3,33.0,9840000.0,433050000.0,1.105263157894737,146.0,,,
Serie A,AC Milan,2021-2022,38,26,8,4,69.0,37.0,25.8,22.0,14780000.0,546950000.0,2.263157894736842,124.0,5.0,836293,44015
Serie A,AC Milan,2021-2022,38,26,8,4,69.0,38.0,25.8,20.0,2360000.0,89500000.0,2.263157894736842,124.0,5.0,836293,44015
Serie A,AC Milan,2022-2023,38,20,10,8,64.0,36.0,26.4,27.0,15140000.0,545100000.0,1.8421052631578947,124.0,,,
Serie A,AC Milan,2022-2023,38,20,10,8,64.0,44.0,25.1,24.0,1630000.0,71800000.0,1.8421052631578947,124.0,,,
Serie A,AC Milan,2023-2024,38,22,9,7,76.0,42.0,24.6,26.0,13610000.0,571410000.0,1.9736842105263157,124.0,1.0,1367997,72000
Serie A,AC Milan,2024-2025,38,18,9,11,61.0,38.0,25.8,20.0,1360000.0,51650000.0,1.6578947368421053,124.0,,,
Serie A,AC Milan,2024-2025,38,18,9,11,61.0,41.0,25.1,28.0,14190000.0,581700000.0,1.6578947368421053,124.0,,,
Serie A,AC Monza,2022-2023,38,14,10,14,48.0,41.0,26.6,12.0,3310000.0,135700000.0,1.368421052631579,111.0,,,
Serie A,AC Monza,2023-2024,38,11,12,15,39.0,39.0,26.6,13.0,3680000.0,143430000.0,1.1842105263157894,111.0,,,
